"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"04/24/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/25/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/26/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/27/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/30/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/01/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/02/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/03/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/04/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/05/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/06/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/07/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/08/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/09/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/10/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/11/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/12/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/13/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/14/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/15/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/16/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/17/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/18/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/19/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/20/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/21/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/22/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/23/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/24/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/25/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/26/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/27/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/28/2020","16","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/29/2020","21","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/30/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"05/31/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/01/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/02/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/03/2020","9","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/04/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/05/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/06/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/07/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/08/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/09/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/10/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/11/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/12/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/13/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/14/2020","5","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/15/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/16/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"06/17/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
